date,close
2021-07-13,2.996
2021-07-14,2.988
2021-07-15,2.995
2021-07-16,2.965
2021-07-19,2.945
2021-07-20,2.943
2021-07-21,2.958
2021-07-22,2.988
2021-07-23,3.012
2021-07-26,3.05
2021-07-27,3.042
2021-07-28,3.013
2021-07-29,3.019
2021-07-30,2.969
2021-08-02,3.019
2021-08-03,3.006
2021-08-04,3.027
2021-08-05,3.02
2021-08-06,3.043
2021-08-09,3.028
2021-08-10,3.038
2021-08-11,3.027
2021-08-12,3.023
2021-08-13,3.031
2021-08-16,3.036
2021-08-17,3.049
2021-08-18,3.039
2021-08-19,2.982
2021-08-20,3.005
2021-08-23,3.048
2021-08-24,3.102
2021-08-25,3.102
2021-08-26,3.094
2021-08-27,3.103
2021-08-30,3.114
2021-08-31,3.161
2021-09-01,3.144
2021-09-02,3.141
2021-09-03,3.146
2021-09-06,3.15
2021-09-07,3.151
2021-09-08,3.143
2021-09-09,3.123
2021-09-10,3.125
2021-09-13,3.116
2021-09-14,3.097
2021-09-15,3.084
2021-09-16,3.088
2021-09-17,3.118
2021-09-22,3.033
2021-09-23,3.063
2021-09-24,3.073
2021-09-27,3.09
2021-09-28,3.039
2021-09-29,2.988
2021-09-30,3.0
2021-10-08,2.991
2021-10-11,2.957
2021-10-12,2.933
2021-10-13,2.944
2021-10-14,2.98
2021-10-15,3.029
2021-10-18,3.017
2021-10-19,3.055
2021-10-20,3.06
2021-10-21,3.054
2021-10-22,3.07
2021-10-25,3.054
2021-10-26,3.093
2021-10-27,3.087
2021-10-28,3.096
2021-10-29,3.1
2021-11-01,3.153
2021-11-02,3.156
2021-11-03,3.174
2021-11-04,3.22
2021-11-05,3.255
2021-11-08,3.244
2021-11-09,3.255
2021-11-10,3.222
2021-11-11,3.195
2021-11-12,3.194
2021-11-15,3.224
2021-11-16,3.209
2021-11-17,3.235
2021-11-18,3.242
2021-11-19,3.292
2021-11-22,3.296
2021-11-23,3.244
2021-11-24,3.25
2021-11-25,3.268
2021-11-26,3.233
2021-11-29,3.222
2021-11-30,3.24
2021-12-01,3.237
2021-12-02,3.164
2021-12-03,3.157
2021-12-06,3.12
2021-12-07,3.163
2021-12-08,3.239
2021-12-09,3.227
2021-12-10,3.201
2021-12-13,3.234
2021-12-14,3.184
2021-12-15,3.157
2021-12-16,3.229
2021-12-17,3.142
2021-12-20,3.099
2021-12-21,3.134
2021-12-22,3.154
2021-12-23,3.193
2021-12-24,3.209
2021-12-27,3.225
2021-12-28,3.271
2021-12-29,3.271
2021-12-30,3.257
2021-12-31,3.255
2022-01-04,3.273
2022-01-05,3.21
2022-01-06,3.117
2022-01-07,3.136
2022-01-10,3.106
2022-01-11,3.088
2022-01-12,3.149
2022-01-13,3.135
2022-01-14,3.071
2022-01-17,3.074
2022-01-18,3.05
2022-01-19,2.986
2022-01-20,2.996
2022-01-21,2.899
2022-01-24,2.862
2022-01-25,2.808
2022-01-26,2.797
2022-01-27,2.737
2022-01-28,2.786
2022-02-07,2.886
2022-02-08,2.869
2022-02-09,2.913
2022-02-10,2.954
2022-02-11,2.874
2022-02-14,2.817
2022-02-15,2.819
2022-02-16,2.868
2022-02-17,2.848
2022-02-18,2.811
2022-02-21,2.799
2022-02-22,2.698
2022-02-23,2.746
2022-02-24,2.599
2022-02-25,2.698
2022-02-28,2.704
2022-03-01,2.773
2022-03-02,2.739
2022-03-03,2.776
2022-03-04,2.725
2022-03-07,2.659
2022-03-08,2.579
2022-03-09,2.607
2022-03-10,2.676
2022-03-11,2.659
2022-03-14,2.623
2022-03-15,2.574
2022-03-16,2.665
2022-03-17,2.744
2022-03-18,2.754
2022-03-21,2.815
2022-03-22,2.82
2022-03-23,2.889
2022-03-24,2.865
2022-03-25,2.917
2022-03-28,2.902
2022-03-29,2.969
2022-03-30,3.013
2022-03-31,2.993
2022-04-01,2.955
2022-04-06,2.933
2022-04-07,2.872
2022-04-08,2.892
2022-04-11,2.826
2022-04-12,2.769
2022-04-13,2.782
2022-04-14,2.825
2022-04-15,2.752
2022-04-18,2.735
2022-04-19,2.775
2022-04-20,2.811
2022-04-21,2.832
2022-04-22,2.769
2022-04-25,2.706
2022-04-26,2.751
2022-04-27,2.68
2022-04-28,2.717
2022-04-29,2.739
2022-05-05,2.773
2022-05-06,2.668
2022-05-09,2.627
2022-05-10,2.597
2022-05-11,2.603
2022-05-12,2.509
2022-05-13,2.557
2022-05-16,2.587
2022-05-17,2.589
2022-05-18,2.618
2022-05-19,2.506
2022-05-20,2.509
2022-05-23,2.497
2022-05-24,2.436
2022-05-25,2.45
2022-05-26,2.473
2022-05-27,2.556
2022-05-30,2.63
2022-05-31,2.605
2022-06-01,2.612
2022-06-02,2.597
2022-06-06,2.598
2022-06-07,2.574
2022-06-08,2.613
2022-06-09,2.603
2022-06-10,2.551
2022-06-13,2.418
2022-06-14,2.393
2022-06-15,2.376
2022-06-16,2.376
2022-06-17,2.327
2022-06-20,2.348
2022-06-21,2.366
2022-06-22,2.369
2022-06-23,2.39
2022-06-24,2.444
2022-06-27,2.501
2022-06-28,2.488
2022-06-29,2.406
2022-06-30,2.384
2022-07-01,2.37
2022-07-04,2.384
2022-07-05,0.604
2022-07-06,0.611
2022-07-07,0.616
2022-07-08,0.623
